label	lastfm_URI	DBpedia16_URI
Sopor Aeternus & The Ensemble of Shadows	http://www.last.fm/music/Sopor%2BAeternus%2B%2526%2BThe%2BEnsemble%2Bof%2BShadows	
The Faint	http://www.last.fm/music/The+Faint	http://dbpedia.org/resource/The_Faint
God Module	http://www.last.fm/music/God+Module	http://dbpedia.org/resource/God_Module
Mindless Self Indulgence	http://www.last.fm/music/Mindless+Self+Indulgence	http://dbpedia.org/resource/Mindless_Self_Indulgence
Pyotr Ilyich Tchaikovsky	http://www.last.fm/music/Pyotr+Ilyich+Tchaikovsky	
Emperor	http://www.last.fm/music/Emperor	http://dbpedia.org/resource/Emperor_(band)
Reaper	http://www.last.fm/music/Reaper	http://dbpedia.org/resource/Reaper_(band)
Morcheeba	http://www.last.fm/music/Morcheeba	http://dbpedia.org/resource/Morcheeba
Air	http://www.last.fm/music/Air	http://dbpedia.org/resource/Air_(French_band)
Hooverphonic	http://www.last.fm/music/Hooverphonic	http://dbpedia.org/resource/Hooverphonic
Thievery Corporation	http://www.last.fm/music/Thievery+Corporation	http://dbpedia.org/resource/Thievery_Corporation
Talk Talk	http://www.last.fm/music/Talk+Talk	http://dbpedia.org/resource/Talk_Talk
Enigma	http://www.last.fm/music/Enigma	http://dbpedia.org/resource/Enigma_(musical_project)
Röyksopp	http://www.last.fm/music/R%C3%B6yksopp	
Faithless	http://www.last.fm/music/Faithless	http://dbpedia.org/resource/Faithless
Icehouse	http://www.last.fm/music/Icehouse	http://dbpedia.org/resource/Icehouse_(band)
Sade	http://www.last.fm/music/Sade	http://dbpedia.org/resource/Sade_Adu
Dido	http://www.last.fm/music/Dido	http://dbpedia.org/resource/Dido_(singer)
Café Del Mar	http://www.last.fm/music/Caf%C3%A9+Del+Mar	
Camouflage	http://www.last.fm/music/Camouflage	http://dbpedia.org/resource/Camouflage_(band)
Electronic	http://www.last.fm/music/Electronic	http://dbpedia.org/resource/Electronic_(band)
George Michael	http://www.last.fm/music/George+Michael	http://dbpedia.org/resource/George_Michael
Groove Armada	http://www.last.fm/music/Groove+Armada	http://dbpedia.org/resource/Groove_Armada
Marc Almond	http://www.last.fm/music/Marc+Almond	http://dbpedia.org/resource/Marc_Almond
Cut Copy	http://www.last.fm/music/Cut+Copy	http://dbpedia.org/resource/Cut_Copy
Spandau Ballet	http://www.last.fm/music/Spandau+Ballet	http://dbpedia.org/resource/Spandau_Ballet
Katie Melua	http://www.last.fm/music/Katie+Melua	http://dbpedia.org/resource/Katie_Melua
Kosheen	http://www.last.fm/music/Kosheen	http://dbpedia.org/resource/Kosheen
Nik Kershaw	http://www.last.fm/music/Nik+Kershaw	http://dbpedia.org/resource/Nik_Kershaw
Jean-Michel Jarre	http://www.last.fm/music/Jean-Michel+Jarre	http://dbpedia.org/resource/Jean_Michel_Jarre
Simply Red	http://www.last.fm/music/Simply+Red	http://dbpedia.org/resource/Simply_Red
Fleetwood Mac	http://www.last.fm/music/Fleetwood+Mac	http://dbpedia.org/resource/Fleetwood_Mac
Duffy	http://www.last.fm/music/Duffy	http://dbpedia.org/resource/Duffy_(singer)
Japan	http://www.last.fm/music/Japan	http://dbpedia.org/resource/Japan_(band)
INXS	http://www.last.fm/music/INXS	http://dbpedia.org/resource/INXS
ABC	http://www.last.fm/music/ABC	http://dbpedia.org/resource/ABC_(band)
Pleq	http://www.last.fm/music/Pleq	
Max Richter	http://www.last.fm/music/Max+Richter	http://dbpedia.org/resource/Max_Richter
Burial	http://www.last.fm/music/Burial	http://dbpedia.org/resource/Burial_(musician)
The Notwist	http://www.last.fm/music/The+Notwist	http://dbpedia.org/resource/The_Notwist
Worm Is Green	http://www.last.fm/music/Worm+Is+Green	
Library Tapes	http://www.last.fm/music/Library+Tapes	
Deep Forest	http://www.last.fm/music/Deep+Forest	http://dbpedia.org/resource/Deep_Forest
Porcupine Tree	http://www.last.fm/music/Porcupine+Tree	http://dbpedia.org/resource/Porcupine_Tree
De/Vision	http://www.last.fm/music/De%252FVision	http://dbpedia.org/resource/De/Vision
Robbie Williams	http://www.last.fm/music/Robbie+Williams	http://dbpedia.org/resource/Robbie_Williams
VAST	http://www.last.fm/music/VAST	http://dbpedia.org/resource/VAST
God Is an Astronaut	http://www.last.fm/music/God+Is+an+Astronaut	http://dbpedia.org/resource/God_Is_an_Astronaut
Planet Funk	http://www.last.fm/music/Planet+Funk	http://dbpedia.org/resource/Planet_Funk
The Cranberries	http://www.last.fm/music/The+Cranberries	http://dbpedia.org/resource/The_Cranberries
Scissor Sisters	http://www.last.fm/music/Scissor+Sisters	http://dbpedia.org/resource/Scissor_Sisters
Mew	http://www.last.fm/music/Mew	http://dbpedia.org/resource/Mew_(band)
Stereophonics	http://www.last.fm/music/Stereophonics	http://dbpedia.org/resource/Stereophonics
Infected Mushroom	http://www.last.fm/music/Infected+Mushroom	http://dbpedia.org/resource/Infected_Mushroom
Delerium	http://www.last.fm/music/Delerium	http://dbpedia.org/resource/Delerium
Scorpions	http://www.last.fm/music/Scorpions	http://dbpedia.org/resource/Scorpions_(band)
Dolores O'Riordan	http://www.last.fm/music/Dolores+O%27Riordan	http://dbpedia.org/resource/Dolores_O'Riordan
Roxette	http://www.last.fm/music/Roxette	http://dbpedia.org/resource/Roxette
Paradise Lost	http://www.last.fm/music/Paradise+Lost	http://dbpedia.org/resource/Paradise_Lost_(band)
Jamiroquai	http://www.last.fm/music/Jamiroquai	http://dbpedia.org/resource/Jamiroquai
James Blunt	http://www.last.fm/music/James+Blunt	http://dbpedia.org/resource/James_Blunt
Reamonn	http://www.last.fm/music/Reamonn	http://dbpedia.org/resource/Reamonn
Blackfield	http://www.last.fm/music/Blackfield	http://dbpedia.org/resource/Blackfield
Opeth	http://www.last.fm/music/Opeth	http://dbpedia.org/resource/List_of_Opeth_band_members
Poets of the Fall	http://www.last.fm/music/Poets+of+the+Fall	http://dbpedia.org/resource/Poets_of_the_Fall
Elton John	http://www.last.fm/music/Elton+John	http://dbpedia.org/resource/Elton_John
Tears for Fears	http://www.last.fm/music/Tears+for+Fears	http://dbpedia.org/resource/Tears_for_Fears
The Tiger Lillies	http://www.last.fm/music/The+Tiger+Lillies	http://dbpedia.org/resource/The_Tiger_Lillies
Bright Eyes	http://www.last.fm/music/Bright+Eyes	http://dbpedia.org/resource/Bright_Eyes_(band)
Beirut	http://www.last.fm/music/Beirut	http://dbpedia.org/resource/Beirut_(band)
Tom Waits	http://www.last.fm/music/Tom+Waits	http://dbpedia.org/resource/Tom_Waits
Gogol Bordello	http://www.last.fm/music/Gogol+Bordello	http://dbpedia.org/resource/Gogol_Bordello
Ленинград	http://www.last.fm/music/%D0%9B%D0%B5%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4	
CAKE	http://www.last.fm/music/CAKE	http://dbpedia.org/resource/Cake_(band)
Damien Rice	http://www.last.fm/music/Damien+Rice	http://dbpedia.org/resource/Damien_Rice
Andrew Bird	http://www.last.fm/music/Andrew+Bird	http://dbpedia.org/resource/Andrew_Bird
Babyshambles	http://www.last.fm/music/Babyshambles	http://dbpedia.org/resource/Babyshambles
The Decemberists	http://www.last.fm/music/The+Decemberists	http://dbpedia.org/resource/The_Decemberists
DeVotchKa	http://www.last.fm/music/DeVotchKa	http://dbpedia.org/resource/DeVotchKa
Jeff Buckley	http://www.last.fm/music/Jeff+Buckley	http://dbpedia.org/resource/Jeff_Buckley
Sparklehorse	http://www.last.fm/music/Sparklehorse	http://dbpedia.org/resource/Sparklehorse
Man Man	http://www.last.fm/music/Man+Man	http://dbpedia.org/resource/Man_Man
M. Ward	http://www.last.fm/music/M.+Ward	http://dbpedia.org/resource/M._Ward
Travis	http://www.last.fm/music/Travis	http://dbpedia.org/resource/Travis_(band)
Modest Mouse	http://www.last.fm/music/Modest+Mouse	http://dbpedia.org/resource/Modest_Mouse
Band of Horses	http://www.last.fm/music/Band+of+Horses	http://dbpedia.org/resource/Band_of_Horses
Devendra Banhart	http://www.last.fm/music/Devendra+Banhart	http://dbpedia.org/resource/Devendra_Banhart
Eels	http://www.last.fm/music/Eels	http://dbpedia.org/resource/Eels_(band)
Clap Your Hands Say Yeah	http://www.last.fm/music/Clap+Your+Hands+Say+Yeah	http://dbpedia.org/resource/Clap_Your_Hands_Say_Yeah
Thom Yorke	http://www.last.fm/music/Thom+Yorke	http://dbpedia.org/resource/Thom_Yorke
Keyshia Cole	http://www.last.fm/music/Keyshia+Cole	http://dbpedia.org/resource/Keyshia_Cole
Racionais MC's	http://www.last.fm/music/Racionais+MC%27s	http://dbpedia.org/resource/Racionais_MC's
Toni Braxton	http://www.last.fm/music/Toni+Braxton	http://dbpedia.org/resource/Toni_Braxton
Bob Marley & The Wailers	http://www.last.fm/music/Bob%2BMarley%2B%2526%2BThe%2BWailers	http://dbpedia.org/resource/Bob_Marley_and_the_Wailers
Adriana Calcanhotto	http://www.last.fm/music/Adriana+Calcanhotto	http://dbpedia.org/resource/Adriana_Calcanhotto
Maxwell	http://www.last.fm/music/Maxwell	http://dbpedia.org/resource/Maxwell_(musician)
Common	http://www.last.fm/music/Common	http://dbpedia.org/resource/Common_(rapper)
Bob Marley	http://www.last.fm/music/Bob+Marley	http://dbpedia.org/resource/Bob_Marley
Whitney Houston	http://www.last.fm/music/Whitney+Houston	http://dbpedia.org/resource/Whitney_Houston
Tamia	http://www.last.fm/music/Tamia	http://dbpedia.org/resource/Tamia
Bryan Adams	http://www.last.fm/music/Bryan+Adams	http://dbpedia.org/resource/Bryan_Adams
Kid Abelha	http://www.last.fm/music/Kid+Abelha	http://dbpedia.org/resource/Kid_Abelha
Tina Turner	http://www.last.fm/music/Tina+Turner	http://dbpedia.org/resource/Tina_Turner
Marisa Monte	http://www.last.fm/music/Marisa+Monte	http://dbpedia.org/resource/Marisa_Monte
Mary J. Blige	http://www.last.fm/music/Mary+J.+Blige	http://dbpedia.org/resource/Mary_J._Blige
Jill Scott	http://www.last.fm/music/Jill+Scott	
Erykah Badu	http://www.last.fm/music/Erykah+Badu	http://dbpedia.org/resource/Erykah_Badu
Nas	http://www.last.fm/music/Nas	http://dbpedia.org/resource/Nas
Richard Marx	http://www.last.fm/music/Richard+Marx	http://dbpedia.org/resource/Richard_Marx
Maria Bethânia	http://www.last.fm/music/Maria+Beth%C3%A2nia	
Mos Def	http://www.last.fm/music/Mos+Def	http://dbpedia.org/resource/Mos_Def
Gang Starr	http://www.last.fm/music/Gang+Starr	http://dbpedia.org/resource/Gang_Starr
2Pac	http://www.last.fm/music/2Pac	http://dbpedia.org/resource/Tupac_Shakur
Brandy	http://www.last.fm/music/Brandy	http://dbpedia.org/resource/Brandy_Norwood
Ana Carolina	http://www.last.fm/music/Ana+Carolina	http://dbpedia.org/resource/Ana_Carolina
Peter Tosh	http://www.last.fm/music/Peter+Tosh	http://dbpedia.org/resource/Peter_Tosh
Monica	http://www.last.fm/music/Monica	http://dbpedia.org/resource/Monica_(singer)
David Cook	http://www.last.fm/music/David+Cook	http://dbpedia.org/resource/David_Cook_(singer)
Panic at the Disco	http://www.last.fm/music/+noredirect/Panic+at+the+Disco	http://dbpedia.org/resource/Panic!_at_the_Disco
David Archuleta	http://www.last.fm/music/David+Archuleta	http://dbpedia.org/resource/David_Archuleta
Katharine McPhee	http://www.last.fm/music/Katharine+McPhee	http://dbpedia.org/resource/Katharine_McPhee
Kate Voegele	http://www.last.fm/music/Kate+Voegele	http://dbpedia.org/resource/Kate_Voegele
Kat DeLuna	http://www.last.fm/music/Kat+DeLuna	http://dbpedia.org/resource/Kat_DeLuna
Danity Kane	http://www.last.fm/music/Danity+Kane	http://dbpedia.org/resource/Danity_Kane
Cassie	http://www.last.fm/music/Cassie	http://dbpedia.org/resource/Cassie_Ventura
Allison Iraheta	http://www.last.fm/music/Allison+Iraheta	http://dbpedia.org/resource/Allison_Iraheta
Keri Hilson	http://www.last.fm/music/Keri+Hilson	http://dbpedia.org/resource/Keri_Hilson
Ashanti	http://www.last.fm/music/Ashanti	http://dbpedia.org/resource/Ashanti_(singer)
The Saturdays	http://www.last.fm/music/The+Saturdays	http://dbpedia.org/resource/The_Saturdays
JoJo	http://www.last.fm/music/JoJo	http://dbpedia.org/resource/JoJo_(singer)
Chris Brown	http://www.last.fm/music/Chris+Brown	http://dbpedia.org/resource/Chris_Brown_(Canadian_musician)
T.I.	http://www.last.fm/music/T.I.	http://dbpedia.org/resource/T.I.
Kelly Rowland	http://www.last.fm/music/Kelly+Rowland	http://dbpedia.org/resource/Kelly_Rowland
No Angels	http://www.last.fm/music/No+Angels	http://dbpedia.org/resource/No_Angels
Cher	http://www.last.fm/music/Cher	http://dbpedia.org/resource/Cher
Colbie Caillat	http://www.last.fm/music/Colbie+Caillat	http://dbpedia.org/resource/Colbie_Caillat
Lena	http://www.last.fm/music/Lena	http://dbpedia.org/resource/Lena_Ab%C3%A9
Wir sind Helden	http://www.last.fm/music/Wir+sind+Helden	http://dbpedia.org/resource/Wir_sind_Helden
Monrose	http://www.last.fm/music/Monrose	http://dbpedia.org/resource/Monrose
Sarah Connor	http://www.last.fm/music/Sarah+Connor	http://dbpedia.org/resource/Sarah_Connor_(singer)
Jason Mraz	http://www.last.fm/music/Jason+Mraz	http://dbpedia.org/resource/Jason_Mraz
Brad Paisley	http://www.last.fm/music/Brad+Paisley	http://dbpedia.org/resource/Brad_Paisley
Silbermond	http://www.last.fm/music/Silbermond	http://dbpedia.org/resource/Silbermond
Maria Mena	http://www.last.fm/music/Maria+Mena	http://dbpedia.org/resource/Maria_Mena
Shania Twain	http://www.last.fm/music/Shania+Twain	http://dbpedia.org/resource/Shania_Twain
A Fine Frenzy	http://www.last.fm/music/A+Fine+Frenzy	http://dbpedia.org/resource/A_Fine_Frenzy
Sugarland	http://www.last.fm/music/Sugarland	http://dbpedia.org/resource/Sugarland
Jack Johnson	http://www.last.fm/music/Jack+Johnson	http://dbpedia.org/resource/Jack_Johnson_(musician)
BIG BANG	http://www.last.fm/music/BIG+BANG	http://dbpedia.org/resource/Big_Bang_(British_band)
2PM	http://www.last.fm/music/2PM	http://dbpedia.org/resource/2PM
Katatonia	http://www.last.fm/music/Katatonia	http://dbpedia.org/resource/Katatonia
Skillet	http://www.last.fm/music/Skillet	http://dbpedia.org/resource/Skillet_(band)
宇多田ヒカル	http://www.last.fm/music/%E5%AE%87%E5%A4%9A%E7%94%B0%E3%83%92%E3%82%AB%E3%83%AB	
浜崎あゆみ	http://www.last.fm/music/%E6%B5%9C%E5%B4%8E%E3%81%82%E3%82%86%E3%81%BF	
UVERworld	http://www.last.fm/music/UVERworld	http://dbpedia.org/resource/Uverworld
中島美嘉	http://www.last.fm/music/%E4%B8%AD%E5%B3%B6%E7%BE%8E%E5%98%89	
Blackmore's Night	http://www.last.fm/music/Blackmore%27s+Night	http://dbpedia.org/resource/Blackmore's_Night
Bad Religion	http://www.last.fm/music/Bad+Religion	http://dbpedia.org/resource/Bad_Religion
Fairuz	http://www.last.fm/music/Fairuz	http://dbpedia.org/resource/Fairuz
Cascada	http://www.last.fm/music/Cascada	http://dbpedia.org/resource/Cascada
B2ST	http://www.last.fm/music/B2ST	http://dbpedia.org/resource/Beast_(South_Korean_band)
Enya	http://www.last.fm/music/Enya	http://dbpedia.org/resource/Enya
GACKT	http://www.last.fm/music/GACKT	http://dbpedia.org/resource/Gackt
Super Junior	http://www.last.fm/music/Super+Junior	http://dbpedia.org/resource/Super_Junior
L'Arc~en~Ciel	http://www.last.fm/music/L%27Arc%7Een%7ECiel	http://dbpedia.org/resource/L'Arc-en-Ciel
雅-MIYAVI-	http://www.last.fm/music/%E9%9B%85-MIYAVI-	
嵐	http://www.last.fm/music/%E5%B5%90	
2NE1	http://www.last.fm/music/2NE1	http://dbpedia.org/resource/2NE1
The All-American Rejects	http://www.last.fm/music/The+All-American+Rejects	http://dbpedia.org/resource/The_All-American_Rejects
The Rasmus	http://www.last.fm/music/The+Rasmus	http://dbpedia.org/resource/The_Rasmus
Akira Yamaoka	http://www.last.fm/music/Akira+Yamaoka	http://dbpedia.org/resource/Akira_Yamaoka
Crossfade	http://www.last.fm/music/Crossfade	http://dbpedia.org/resource/Crossfade_(band)
G-Dragon	http://www.last.fm/music/G-Dragon	http://dbpedia.org/resource/G-Dragon
After School	http://www.last.fm/music/After+School	http://dbpedia.org/resource/After_School_(band)
The National	http://www.last.fm/music/The+National	http://dbpedia.org/resource/The_National_(band)
Tokyo Police Club	http://www.last.fm/music/Tokyo+Police+Club	http://dbpedia.org/resource/Tokyo_Police_Club
The Kills	http://www.last.fm/music/The+Kills	http://dbpedia.org/resource/The_Kills
Móveis Coloniais de Acaju	http://www.last.fm/music/M%C3%B3veis+Coloniais+de+Acaju	
Mombojó	http://www.last.fm/music/Momboj%C3%B3	
Bat for Lashes	http://www.last.fm/music/Bat+for+Lashes	http://dbpedia.org/resource/Bat_for_Lashes
Rilo Kiley	http://www.last.fm/music/Rilo+Kiley	http://dbpedia.org/resource/Rilo_Kiley
The Cribs	http://www.last.fm/music/The+Cribs	http://dbpedia.org/resource/The_Cribs
The Libertines	http://www.last.fm/music/The+Libertines	http://dbpedia.org/resource/The_Libertines
Kate Nash	http://www.last.fm/music/Kate+Nash	http://dbpedia.org/resource/Kate_Nash
Wolf Parade	http://www.last.fm/music/Wolf+Parade	http://dbpedia.org/resource/Wolf_Parade
Klaxons	http://www.last.fm/music/Klaxons	http://dbpedia.org/resource/Klaxons
Broken Social Scene	http://www.last.fm/music/Broken+Social+Scene	http://dbpedia.org/resource/Broken_Social_Scene
Spoon	http://www.last.fm/music/Spoon	http://dbpedia.org/resource/Spoon_(band)
She & Him	http://www.last.fm/music/She%2B%2526%2BHim	http://dbpedia.org/resource/She_Moves
O Teatro Mágico	http://www.last.fm/music/O+Teatro+M%C3%A1gico	
Animal Collective	http://www.last.fm/music/Animal+Collective	http://dbpedia.org/resource/Animal_Collective
The Tallest Man on Earth	http://www.last.fm/music/The+Tallest+Man+on+Earth	http://dbpedia.org/resource/The_Tallest_Man_on_Earth
The Rakes	http://www.last.fm/music/The+Rakes	http://dbpedia.org/resource/The_Rakes
múm	http://www.last.fm/music/m%C3%BAm	
Bon Iver	http://www.last.fm/music/Bon+Iver	http://dbpedia.org/resource/Bon_Iver
Ra Ra Riot	http://www.last.fm/music/Ra+Ra+Riot	http://dbpedia.org/resource/Ra_Ra_Riot
Manu Chao	http://www.last.fm/music/Manu+Chao	http://dbpedia.org/resource/Manu_Chao
Art Brut	http://www.last.fm/music/Art+Brut	http://dbpedia.org/resource/Art_Brut
She Wants Revenge	http://www.last.fm/music/She+Wants+Revenge	http://dbpedia.org/resource/She_Wants_Revenge
Silverchair	http://www.last.fm/music/Silverchair	http://dbpedia.org/resource/Silverchair
Jónsi	http://www.last.fm/music/J%C3%B3nsi	
Jesse McCartney	http://www.last.fm/music/Jesse+McCartney	http://dbpedia.org/resource/Jesse_McCartney
Aaron Carter	http://www.last.fm/music/Aaron+Carter	http://dbpedia.org/resource/Aaron_Carter
*NSYNC	http://www.last.fm/music/%2ANSYNC	http://dbpedia.org/resource/NSYNC
Noize MC	http://www.last.fm/music/Noize+MC	
Blue	http://www.last.fm/music/Blue	http://dbpedia.org/resource/Labelle
Savage Garden	http://www.last.fm/music/Savage+Garden	http://dbpedia.org/resource/Savage_Garden
Jessica Simpson	http://www.last.fm/music/Jessica+Simpson	http://dbpedia.org/resource/Jessica_Simpson
Darren Hayes	http://www.last.fm/music/Darren+Hayes	http://dbpedia.org/resource/Darren_Hayes
Nick Carter	http://www.last.fm/music/Nick+Carter	http://dbpedia.org/resource/Nick_Carter_(musician)
nevershoutnever!	http://www.last.fm/music/nevershoutnever%21	http://dbpedia.org/resource/Never_Shout_Never
Metro Station	http://www.last.fm/music/Metro+Station	http://dbpedia.org/resource/Metro_Station_(band)
3 Doors Down	http://www.last.fm/music/3+Doors+Down	http://dbpedia.org/resource/3_Doors_Down
Craig David	http://www.last.fm/music/Craig+David	http://dbpedia.org/resource/Craig_David
M. Pokora	http://www.last.fm/music/M.+Pokora	http://dbpedia.org/resource/M._Pokora
Daniel Merriweather	http://www.last.fm/music/Daniel+Merriweather	http://dbpedia.org/resource/Daniel_Merriweather
ВИА Гра	http://www.last.fm/music/%D0%92%D0%98%D0%90+%D0%93%D1%80%D0%B0	
Westlife	http://www.last.fm/music/Westlife	http://dbpedia.org/resource/Westlife
Jeremih	http://www.last.fm/music/Jeremih	http://dbpedia.org/resource/Jeremih
Ne-Yo	http://www.last.fm/music/Ne-Yo	http://dbpedia.org/resource/Ne-Yo
Kelis	http://www.last.fm/music/Kelis	http://dbpedia.org/resource/Kelis
The Birthday Massacre	http://www.last.fm/music/The+Birthday+Massacre	http://dbpedia.org/resource/The_Birthday_Massacre
Limp Bizkit	http://www.last.fm/music/Limp+Bizkit	http://dbpedia.org/resource/Limp_Bizkit
Seether	http://www.last.fm/music/Seether	http://dbpedia.org/resource/Seether
Fort Minor	http://www.last.fm/music/Fort+Minor	http://dbpedia.org/resource/Fort_Minor
Funeral for a Friend	http://www.last.fm/music/Funeral+for+a+Friend	http://dbpedia.org/resource/Funeral_for_a_Friend
Lostprophets	http://www.last.fm/music/Lostprophets	http://dbpedia.org/resource/Lostprophets
Finch	http://www.last.fm/music/Finch	http://dbpedia.org/resource/Finch_(Dutch_band)
Cold	http://www.last.fm/music/Cold	http://dbpedia.org/resource/Cold_(band)
Papa Roach	http://www.last.fm/music/Papa+Roach	http://dbpedia.org/resource/Papa_Roach
Flyleaf	http://www.last.fm/music/Flyleaf	http://dbpedia.org/resource/Flyleaf
Angels & Airwaves	http://www.last.fm/music/Angels%2B%2526%2BAirwaves	http://dbpedia.org/resource/Angels_of_Light
LaFee	http://www.last.fm/music/LaFee	http://dbpedia.org/resource/LaFee
In Flames	http://www.last.fm/music/In+Flames	http://dbpedia.org/resource/In_Flames
HIM	http://www.last.fm/music/HIM	http://dbpedia.org/resource/HIM_(Finnish_band)
Anathema	http://www.last.fm/music/Anathema	http://dbpedia.org/resource/Anathema_(band)
Saosin	http://www.last.fm/music/Saosin	http://dbpedia.org/resource/Saosin
P.O.D.	http://www.last.fm/music/P.O.D.	http://dbpedia.org/resource/P.O.D.
Deftones	http://www.last.fm/music/Deftones	http://dbpedia.org/resource/Deftones
Ill Niño	http://www.last.fm/music/Ill+Ni%C3%B1o	
Clan of Xymox	http://www.last.fm/music/Clan+of+Xymox	http://dbpedia.org/resource/Clan_of_Xymox
Celldweller	http://www.last.fm/music/Celldweller	http://dbpedia.org/resource/Celldweller
Static-X	http://www.last.fm/music/Static-X	http://dbpedia.org/resource/Static-X
happysad	http://www.last.fm/music/happysad	
Lacrimosa	http://www.last.fm/music/Lacrimosa	http://dbpedia.org/resource/Lacrimosa_(band)
Jeffree Star	http://www.last.fm/music/Jeffree+Star	http://dbpedia.org/resource/Jeffree_Star
Lil' Wayne	http://www.last.fm/music/Lil%27+Wayne	http://dbpedia.org/resource/Lil_Wayne
Paul van Dyk	http://www.last.fm/music/Paul+van+Dyk	http://dbpedia.org/resource/Paul_van_Dyk
Alphabeat	http://www.last.fm/music/Alphabeat	http://dbpedia.org/resource/Alphabeat
Taio Cruz	http://www.last.fm/music/Taio+Cruz	http://dbpedia.org/resource/Taio_Cruz
Little Boots	http://www.last.fm/music/Little+Boots	http://dbpedia.org/resource/Little_Boots
No Doubt	http://www.last.fm/music/No+Doubt	http://dbpedia.org/resource/No_Doubt
Sophie Ellis-Bextor	http://www.last.fm/music/Sophie+Ellis-Bextor	http://dbpedia.org/resource/Sophie_Ellis-Bextor
The Used	http://www.last.fm/music/The+Used	http://dbpedia.org/resource/The_Used
Gossip	http://www.last.fm/music/Gossip	http://dbpedia.org/resource/Gossip_(band)
Space Cowboy	http://www.last.fm/music/Space+Cowboy	http://dbpedia.org/resource/Space_Cowboy_(musician)
Flo Rida	http://www.last.fm/music/Flo+Rida	http://dbpedia.org/resource/Flo_Rida
The Ting Tings	http://www.last.fm/music/The+Ting+Tings	http://dbpedia.org/resource/The_Ting_Tings
Kid Cudi	http://www.last.fm/music/Kid+Cudi	http://dbpedia.org/resource/Kid_Cudi
Ellie Goulding	http://www.last.fm/music/Ellie+Goulding	http://dbpedia.org/resource/Ellie_Goulding
The Kinks	http://www.last.fm/music/The+Kinks	http://dbpedia.org/resource/The_Kinks
Small Faces	http://www.last.fm/music/Small+Faces	http://dbpedia.org/resource/Small_Faces
Howlin' Wolf	http://www.last.fm/music/Howlin%27+Wolf	http://dbpedia.org/resource/Howlin'_Wolf
Sam Cooke	http://www.last.fm/music/Sam+Cooke	http://dbpedia.org/resource/Sam_Cooke
Otis Redding	http://www.last.fm/music/Otis+Redding	http://dbpedia.org/resource/Otis_Redding
Little Richard	http://www.last.fm/music/Little+Richard	http://dbpedia.org/resource/Little_Richard
Ray Charles	http://www.last.fm/music/Ray+Charles	http://dbpedia.org/resource/Ray_Charles_(composer)
Aretha Franklin	http://www.last.fm/music/Aretha+Franklin	http://dbpedia.org/resource/Aretha_Franklin
Marvin Gaye	http://www.last.fm/music/Marvin+Gaye	http://dbpedia.org/resource/Marvin_Gaye
James Brown	http://www.last.fm/music/James+Brown	http://dbpedia.org/resource/James_Brown
Muddy Waters	http://www.last.fm/music/Muddy+Waters	http://dbpedia.org/resource/Muddy_Waters
Elmore James	http://www.last.fm/music/Elmore+James	http://dbpedia.org/resource/Elmore_James
Sonny Boy Williamson	http://www.last.fm/music/Sonny+Boy+Williamson	http://dbpedia.org/resource/Sonny_Boy_Williamson_(original)
John Lee Hooker	http://www.last.fm/music/John+Lee+Hooker	http://dbpedia.org/resource/John_Lee_Hooker
