label	LibraryThing_URI	DBpedia16_URI
The Carbon Diaries 2015	https://www.librarything.com/work/6944992	
How to Write Science Fiction & Fantasy	https://www.librarything.com/work/81355	
Persuading Annie	https://www.librarything.com/work/286444	
A Good Man in Africa (1981)	https://www.librarything.com/work/46639	http://dbpedia.org/resource/A_Good_Man_in_Africa_(novel)
The Night Tourist (2007)	https://www.librarything.com/work/3931039	
Songs from the Soul: Stories from Around the World	https://www.librarything.com/work/11229612	
Baby Farm Animals (A Little Golden Book Classic) (1956)	https://www.librarything.com/work/303278	
The Traiteur's Ring	https://www.librarything.com/work/11551020	
Blackberry Winter (2012)	https://www.librarything.com/work/12527798	
What I Thought I Knew: A Memoir	https://www.librarything.com/work/8032308	
The Most Famous Man in America: The Biography of Henry Ward Beecher (2006)	https://www.librarything.com/work/1171771	
Princess in Pink	https://www.librarything.com/work/55144	http://dbpedia.org/resource/The_Princess_Diaries,_Volume_V:_Princess_in_Pink
Salammbô (1862)	https://www.librarything.com/work/3083906	
The Square Root of Murder (2011)	https://www.librarything.com/work/11306363	
Hell Hole (2008)	https://www.librarything.com/work/4877706	
The Most Dangerous Game [short fiction]	https://www.librarything.com/work/4526528	
The Book of Everything (2004)	https://www.librarything.com/work/704173	
The Light of Asteria: Kailmeyra's Last Hope	https://www.librarything.com/work/10131797	
The Dollhouse Murders (1983)	https://www.librarything.com/work/96190	
Argo: How the CIA and Hollywood Pulled Off the Most Audacious Rescue in… (2012)	https://www.librarything.com/work/12453511	
The Lay of the Land	https://www.librarything.com/work/985763	http://dbpedia.org/resource/The_Lay_of_the_Land
A Little Wanting Song	https://www.librarything.com/work/9179607	
Homecoming (1981)	https://www.librarything.com/work/59937	http://dbpedia.org/resource/Homecoming_(novel)
Firebirds Soaring: An Anthology of Original Speculative Fiction	https://www.librarything.com/work/7926020	
Uncle Silas: A Tale of Bartram-Haugh	https://www.librarything.com/work/147903	
Wild Girl (2009)	https://www.librarything.com/work/8246387	
In Hovering Flight	https://www.librarything.com/work/5896001	
The Currents of Space (1952)	https://www.librarything.com/work/24631	http://dbpedia.org/resource/The_Currents_of_Space
Ruby (2006)	https://www.librarything.com/work/1181521	
Martina the Beautiful Cockroach: A Cuban Folktale (2009)	https://www.librarything.com/work/3360144	
Oaxaca Journal (2002)	https://www.librarything.com/work/5862	
Amazing Faces: Poems	https://www.librarything.com/work/9830997	
Pickles to Pittsburgh: The Sequel to Cloudy with a Chance of Meatballs (1997)	https://www.librarything.com/work/1842552	
A stone in my hand	https://www.librarything.com/work/1514513	
Party Princess	https://www.librarything.com/work/68091	http://dbpedia.org/resource/The_Princess_Diaries,_Volume_VII:_Party_Princess
Jack and the Box	https://www.librarything.com/work/5436224	
Wife in the North	https://www.librarything.com/work/5334160	
Why the West Rules—For Now: The Patterns of History, and What They… (2010)	https://www.librarything.com/work/10030996	
Preacher Vol. 8: All Hell's A-Coming	https://www.librarything.com/work/5876	
Peeling the Onion (2006)	https://www.librarything.com/work/1523732	
Poison	https://www.librarything.com/work/12249412	
Dead Like You (2010)	https://www.librarything.com/work/8929601	
An Alphabetical Life: Living It Up in the World of Books	https://www.librarything.com/work/1252086	
The Salterton Trilogy (1951)	https://www.librarything.com/work/15223	
Juliet Immortal	https://www.librarything.com/work/11121258	
The Darkest Edge of Dawn	https://www.librarything.com/work/9223377	
Show Way	https://www.librarything.com/work/403983	
Adam Bede (1859)	https://www.librarything.com/work/2177	http://dbpedia.org/resource/Adam_Bede
Ox-Cart Man (1979)	https://www.librarything.com/work/33911	http://dbpedia.org/resource/Ox-Cart_Man
The Weight of Water (1997)	https://www.librarything.com/work/4725	http://dbpedia.org/resource/The_Weight_of_Water
Above the Thunder	https://www.librarything.com/work/435379	
The Door to December	https://www.librarything.com/work/4622	http://dbpedia.org/resource/The_Door_to_December
Sacred Hunger (1992)	https://www.librarything.com/work/93486	http://dbpedia.org/resource/Sacred_Hunger
Promises to Keep (2007)	https://www.librarything.com/work/2810109	
The Rest Is Noise: Listening to the Twentieth Century	https://www.librarything.com/work/3562104	
Hissy Fit	https://www.librarything.com/work/28897	
Cocaine Nights (1996)	https://www.librarything.com/work/48246	http://dbpedia.org/resource/Cocaine_Nights
Shalimar the Clown (2005)	https://www.librarything.com/work/7780	
No Safe Harbor (Edge of Freedom)	https://www.librarything.com/work/12757767	
The Secret Garden [adapted - Penguin Readers]	https://www.librarything.com/work/10108673	
32 Stories: The Complete Optic Nerve Mini-Comics (1995)	https://www.librarything.com/work/141070	
Wisteria (Wisteria, #1)	https://www.librarything.com/work/13093166	
Unplanned	https://www.librarything.com/work/10805421	
Advanced Placement Classroom: King Lear (Teaching Success Guide for the…	https://www.librarything.com/work/11803160	
Skinny Legs and All (1990)	https://www.librarything.com/work/6522	http://dbpedia.org/resource/Skinny_Legs_and_All_(novel)
The Pesthouse	https://www.librarything.com/work/1806755	
Freud's Mistress	https://www.librarything.com/work/13522543	
The Iron Hunt	https://www.librarything.com/work/4590267	
Memory (1996)	https://www.librarything.com/work/959788	
When We Were Strangers	https://www.librarything.com/work/10607440	
Scandal	https://www.librarything.com/work/40086	http://dbpedia.org/resource/Notes_on_a_Scandal
Veil of Roses	https://www.librarything.com/work/1855809	
Death Angel: A Novel	https://www.librarything.com/work/5001416	
Life After Genius	https://www.librarything.com/work/5787763	
Boot & Shoe (2012)	https://www.librarything.com/work/12929897	
How Not to Look Old: Fast and Effortless Ways to Look 10 Years Younger, 10…	https://www.librarything.com/work/4674312	
The Torturer's Daughter (The Internal Defense Series)	https://www.librarything.com/work/13163135	
Who Am I?: And If So, How Many?: A Philosophical Journey (2007)	https://www.librarything.com/work/3969802	
The Mullah's Storm	https://www.librarything.com/work/9847430	
City of Bohane (2011)	https://www.librarything.com/work/10163115	
Happiness™️	https://www.librarything.com/work/39273	http://dbpedia.org/resource/Family_Happiness
The Silent Land (2010)	https://www.librarything.com/work/10270232	
Where We Know: New Orleans As Home	https://www.librarything.com/work/10457200	
The Magician and the Fool	https://www.librarything.com/work/5063309	
The Sleeping Beauty (2010)	https://www.librarything.com/work/9740235	
What We Keep (1998)	https://www.librarything.com/work/9492739	
Darkness Visible: A Memoir of Madness (1990)	https://www.librarything.com/work/7488	
Uncle Montague's Tales of Terror	https://www.librarything.com/work/3602815	
Storm Boy	https://www.librarything.com/work/1072595	
Overthrow: America's Century of Regime Change from Hawaii to Iraq (2006)	https://www.librarything.com/work/787363	
The Lemonade War (The Lemonade War Series)	https://www.librarything.com/work/2805774	
Death of a Kitchen Diva (2012)	https://www.librarything.com/work/12240214	
Alexander, Who's Not (Do You Hear Me? I Mean It!) Going to Move (1995)	https://www.librarything.com/work/94503	
The Ships of Earth (1994)	https://www.librarything.com/work/28150	http://dbpedia.org/resource/The_Ships_of_Earth
Mark of the Demon	https://www.librarything.com/work/8570516	
My New American Life (2011)	https://www.librarything.com/work/10750221	
Demian (1919)	https://www.librarything.com/work/8422	http://dbpedia.org/resource/Demian
PostSecret: Confessions on Life, Death, and God (2009)	https://www.librarything.com/work/8057328	
The Witch's Trinity (2007)	https://www.librarything.com/work/3283981	
Two Brothers - One North, One South	https://www.librarything.com/work/4612070	
The Enormous Crocodile (1978)	https://www.librarything.com/work/28713	http://dbpedia.org/resource/The_Enormous_Crocodile
The Break-Up Diet: A Memoir	https://www.librarything.com/work/4670669	
Rap a Tap Tap: Here's Bojangles--Think of That!	https://www.librarything.com/work/690652	
Toot & Puddle	https://www.librarything.com/work/22749	
The Zap Gun (1965)	https://www.librarything.com/work/71604	http://dbpedia.org/resource/The_Zap_Gun
The Hunted	https://www.librarything.com/work/205070	http://dbpedia.org/resource/The_Hunted_(novel)
Lizard Music (1976)	https://www.librarything.com/work/58826	
Doctored Evidence (2004)	https://www.librarything.com/work/358	
Tibet: Through the Red Box (1998)	https://www.librarything.com/work/130831	
The Villa Triste (2011)	https://www.librarything.com/work/10151589	
The Hidden Ones	https://www.librarything.com/work/13409586	
The Book of Lies	https://www.librarything.com/work/11011886	
Remote Control (1997)	https://www.librarything.com/work/41848	http://dbpedia.org/resource/Nick_Stone_Missions
Shimmer	https://www.librarything.com/work/7811398	
Snobs	https://www.librarything.com/work/15698	http://dbpedia.org/resource/The_Book_of_Snobs
A Possible Life	https://www.librarything.com/work/12762160	
Newton's Wake: A Space Opera	https://www.librarything.com/work/48875	
Before the Dawn: Recovering the Lost History of Our Ancestors (2006)	https://www.librarything.com/work/678520	
The Strangely Beautiful Tale of Miss Percy Parker	https://www.librarything.com/work/8527635	
Step on a Crack (2007)	https://www.librarything.com/work/1199221	http://dbpedia.org/resource/Step_on_a_Crack
Total Control (1996)	https://www.librarything.com/work/49756	
Celebration of Discipline: The Path to Spiritual Growth (1978)	https://www.librarything.com/work/9637110	
Don't Kill the Birthday Girl: Tales from an Allergic Life	https://www.librarything.com/work/10793565	
The Face on the Milk Carton	https://www.librarything.com/work/31853	http://dbpedia.org/resource/The_Face_on_the_Milk_Carton
Breathing Room	https://www.librarything.com/work/10193	
Red is Best	https://www.librarything.com/work/73251	
The Fortunes of Indigo Skye (2008)	https://www.librarything.com/work/4448834	
Kill Decision (2012)	https://www.librarything.com/work/11855904	
Necromancing the Stone	https://www.librarything.com/work/12192903	
Saints Astray	https://www.librarything.com/work/11162855	
Go Tell It on the Mountain (1953)	https://www.librarything.com/work/8090	http://dbpedia.org/resource/Go_Tell_It_on_the_Mountain_(novel)
A Boy of Good Breeding (1998)	https://www.librarything.com/work/8116352	
Ghost World	https://www.librarything.com/work/26131	
Drawing a Blank: Or How I Tried to Solve a Mystery, End a Feud, and Land…	https://www.librarything.com/work/1359152	
Silver Is for Secrets	https://www.librarything.com/work/112076	
Prisoner's Base	https://www.librarything.com/work/42211	http://dbpedia.org/resource/Prisoner's_Base
Imaginary Jesus	https://www.librarything.com/work/9847162	
33 Days: Touring In A Van, Sleeping On Floors, Chasing A Dream	https://www.librarything.com/work/11010126	
The Jasmine Moon Murder (2004)	https://www.librarything.com/work/116686	
Bizarre Books: A Compendium of Classic Oddities (1985)	https://www.librarything.com/work/21681	
Rilla of Ingleside (1921)	https://www.librarything.com/work/21609	http://dbpedia.org/resource/Rilla_of_Ingleside
Secrets of My Hollywood Life	https://www.librarything.com/work/876687	
Blade Song	https://www.librarything.com/work/12824241	
John Patrick Norman McHennessy: The Boy Who Was Always Late	https://www.librarything.com/work/635644	
The Army of the Republic: A Novel (2008)	https://www.librarything.com/work/5574294	
Richard II	https://www.librarything.com/work/51664	
Darkness (1991)	https://www.librarything.com/work/46117	
The Princesses of Iowa (2012)	https://www.librarything.com/work/12250965	
The New Baby (1983)	https://www.librarything.com/work/73383	
Understories	https://www.librarything.com/work/12117720	
Bad Astronomy : Misconceptions and Misuses Revealed, from Astrology to the… (2002)	https://www.librarything.com/work/58812	
A Kestrel for a Knave (1968)	https://www.librarything.com/work/101472	http://dbpedia.org/resource/A_Kestrel_for_a_Knave
The Hypnotist's Love Story	https://www.librarything.com/work/11768226	
Lucifer's Hammer (1977)	https://www.librarything.com/work/1155737	http://dbpedia.org/resource/Lucifer's_Hammer
The Makioka Sisters	https://www.librarything.com/work/58138	
December	https://www.librarything.com/work/4631731	
Ghouls Gone Wild	https://www.librarything.com/work/8592943	
My Dear Jenny	https://www.librarything.com/work/292603	
May B. (2012)	https://www.librarything.com/work/11344509	
Fever Moon	https://www.librarything.com/work/12404187	
The Wedding Girl (1999)	https://www.librarything.com/work/914008	
Looking for Rachel Wallace (1980)	https://www.librarything.com/work/74062	http://dbpedia.org/resource/Looking_for_Rachel_Wallace
My Family Plays Music (2003)	https://www.librarything.com/work/272992	
A Royal Pain	https://www.librarything.com/work/5401159	
Murder on Bank Street	https://www.librarything.com/work/4197508	
Stonefather	https://www.librarything.com/work/4342798	
Last Chance Christmas	https://www.librarything.com/work/13073953	
Norwegian Folktales	https://www.librarything.com/work/290308	
Memories of Ice	https://www.librarything.com/work/4160393	
Waiting for Sunrise (2012)	https://www.librarything.com/work/11778986	
Storm Runners	https://www.librarything.com/work/1751530	
Cover Her Face (1962)	https://www.librarything.com/work/14341	http://dbpedia.org/resource/Cover_Her_Face
The Bible Unearthed: Archaeology's New Vision of Ancient Israel and the… (2001)	https://www.librarything.com/work/107954	http://dbpedia.org/resource/The_Bible_Unearthed
The Architectural History of Venice	https://www.librarything.com/work/320753	
The Last Boy: Mickey Mantle and the End of America's Childhood (2010)	https://www.librarything.com/work/9676281	
Ghost Cadet (1991)	https://www.librarything.com/work/111040	
The Dancer and the Raja (2005)	https://www.librarything.com/work/1502914	
Raven Stole the Moon	https://www.librarything.com/work/36171	
The Dew Breaker (2004)	https://www.librarything.com/work/51039	
Nixonland: The Rise of a President and the Fracturing of America (2008)	https://www.librarything.com/work/4786089	
The Fiddler (2012)	https://www.librarything.com/work/11909317	
Shattered	https://www.librarything.com/work/13027599	
Ice Song	https://www.librarything.com/work/7752580	
Nerilka's Story (1986)	https://www.librarything.com/work/32631	http://dbpedia.org/resource/Nerilka's_Story
I Loved, I Lost, I Made Spaghetti (2009)	https://www.librarything.com/work/7935464	
Notes to Self	https://www.librarything.com/work/12028253	
American Sketches: Great Leaders, Creative Thinkers, and Heroes of a… (2010)	https://www.librarything.com/work/9135488	
The Detachment	https://www.librarything.com/work/11640688	
Swallowing Grandma	https://www.librarything.com/work/805545	
Something Like Fate	https://www.librarything.com/work/8639006	
Natural Born Charmer	https://www.librarything.com/work/1806639	
Wild at Heart: Discovering the Secret of a Man's Soul (2001)	https://www.librarything.com/work/12728	
Cloudstreet (1991)	https://www.librarything.com/work/54570	http://dbpedia.org/resource/Cloudstreet
Pedagogy of the Oppressed (1970)	https://www.librarything.com/work/9447	
The Documents in the Case (1930)	https://www.librarything.com/work/25889	http://dbpedia.org/resource/The_Documents_in_the_Case
The Witness	https://www.librarything.com/work/12486899	
Pursuit	https://www.librarything.com/work/5772579	
Ceremony (1977)	https://www.librarything.com/work/32349	http://dbpedia.org/resource/Ceremony_(Silko_novel)
The Black Sheep	https://www.librarything.com/work/3533485	
The Book of Tea (1906)	https://www.librarything.com/work/27632	
Inescapable	https://www.librarything.com/work/12340898	
Galápagos (1985)	https://www.librarything.com/work/816614	
Penguin Readers Level 2: Project Omega (Penguin Longman Penguin Readers)	https://www.librarything.com/work/3414829	
Deadly Charm	https://www.librarything.com/work/7993657	
Winner of the National Book Award: A Novel of Fame, Honor, and Really Bad…	https://www.librarything.com/work/120317	
Oldest Chicago	https://www.librarything.com/work/10515300	
Zenith	https://www.librarything.com/work/2493221	
Running	https://www.librarything.com/work/6411774	
The Best American Nonrequired Reading 2003	https://www.librarything.com/work/7062	
Perfection: A Memoir of Betrayal and Renewal	https://www.librarything.com/work/7829510	
Palace Walk	https://www.librarything.com/work/20291	http://dbpedia.org/resource/Palace_Walk
My Dadima Wears a Sari (2007)	https://www.librarything.com/work/3083567	
Ungifted	https://www.librarything.com/work/12657869	
H. P. Lovecraft: Tales (Library of America)	https://www.librarything.com/work/10476	
First Day on Earth	https://www.librarything.com/work/11152543	
Born Free (1960)	https://www.librarything.com/work/72125	http://dbpedia.org/resource/Born_Free_and_Equal
The Things We Cherished	https://www.librarything.com/work/11117792	
Death of a Valentine (2010)	https://www.librarything.com/work/8289768	
Catherine the Great (1977)	https://www.librarything.com/work/29923	
Surfer!	https://www.librarything.com/work/9180860	
The Master (2004)	https://www.librarything.com/work/10150	http://dbpedia.org/resource/The_Master_of_Go
The Toss of a Lemon	https://www.librarything.com/work/5293300	
Kaimira: The Sky Village: Book One	https://www.librarything.com/work/4449322	
The Mormon Candidate	https://www.librarything.com/work/13046140	
Fair Play (1989)	https://www.librarything.com/work/3249277	
Raiding the Hoard of Enchantment	https://www.librarything.com/work/12549080	
End in Tears (2005)	https://www.librarything.com/work/45471	http://dbpedia.org/resource/End_in_Tears
When the Sea is Rising Red	https://www.librarything.com/work/11521148	
The Maxx, Volume 1	https://www.librarything.com/work/239376	
Death in the Clouds	https://www.librarything.com/work/20683	http://dbpedia.org/resource/Death_in_the_Clouds
Notwithstanding	https://www.librarything.com/work/9044458	
As the Inspector Said and other stories [Oxford Bookworms]	https://www.librarything.com/work/5791307	
The People's Act of Love (2005)	https://www.librarything.com/work/3012218	
Magic in the Blood	https://www.librarything.com/work/6453346	
A Theory of Justice (1971)	https://www.librarything.com/work/1872	http://dbpedia.org/resource/A_Theory_of_Justice
No Highway (1948)	https://www.librarything.com/work/329339	http://dbpedia.org/resource/Brothers_in_Arms:_Hell's_Highway__Hell's_Highway__1
The Greater Journey: Americans in Paris	https://www.librarything.com/work/11094403	
Dr. Death (2000)	https://www.librarything.com/work/91986	
Too Tall Houses	https://www.librarything.com/work/13073798	
The Sisters Café	https://www.librarything.com/work/13181711	
Five Famous Fairy Tales	https://www.librarything.com/work/6626014	
Curse the Names (2012)	https://www.librarything.com/work/12015563	
The Secret Lives of Baba Segi's Wives	https://www.librarything.com/work/9267305	
Against Love: A Polemic	https://www.librarything.com/work/76513	
Asterios Polyp	https://www.librarything.com/work/8047942	
Dark Currents	https://www.librarything.com/work/12541879	
Vanished (2013)	https://www.librarything.com/work/13032476	
The Dance of Anger: A Woman's Guide to Changing the Patterns of Intimate…	https://www.librarything.com/work/82311	
Thou Shall Not	https://www.librarything.com/work/12570388	
Gerald's Game	https://www.librarything.com/work/13403	http://dbpedia.org/resource/Gerald's_Game
The Season of Second Chances	https://www.librarything.com/work/9026169	
Medium Dead	https://www.librarything.com/work/11357953	
Takeover (2008)	https://www.librarything.com/work/5198030	
Forbidden Bread (2009)	https://www.librarything.com/work/8187166	
Oh, Play That Thing (2004)	https://www.librarything.com/work/28691	http://dbpedia.org/resource/Oh,_Play_That_Thing
The Widow's War (2006)	https://www.librarything.com/work/681852	
Cinderella: From Fabletown with Love (2010)	https://www.librarything.com/work/9627420	
King Arthur's Raid on Hell and Other Poems	https://www.librarything.com/work/7988821	
The Templar Salvation (2010)	https://www.librarything.com/work/10103997	
Post voor mevrouw Bromley roman (2011)	https://www.librarything.com/work/11821997	
Redemption	https://www.librarything.com/work/11347002	
Bear (1976)	https://www.librarything.com/work/83734	http://dbpedia.org/resource/Shardik
Not My Daughter	https://www.librarything.com/work/8547903	
The Diary of Mattie Spenser (1997)	https://www.librarything.com/work/54458	
If I Did It: Confessions of the Killer (2007)	https://www.librarything.com/work/3907821	
What! Cried Granny	https://www.librarything.com/work/1445411	
Some Girls: My Life in a Harem	https://www.librarything.com/work/9365524	
Guardian of Eden	https://www.librarything.com/work/11226320	
Open and Shut (2002)	https://www.librarything.com/work/217315	
After the Kiss	https://www.librarything.com/work/9365996	
Hard Day's Knight	https://www.librarything.com/work/12010	
Beyond Band of Brothers	https://www.librarything.com/work/546722	
Queer (1985)	https://www.librarything.com/work/25791	http://dbpedia.org/resource/Queer_(novel)
The Seduction of an English Scoundrel	https://www.librarything.com/work/79940	
Nowhere to Run (2010)	https://www.librarything.com/work/9189879	
The Black Stiletto (2011)	https://www.librarything.com/work/11143008	
The Deadly Space Between (2002)	https://www.librarything.com/work/171181	
Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who… (2011)	https://www.librarything.com/work/11065908	
Crashed (2012)	https://www.librarything.com/work/10667973	
Blood and Gold (2001)	https://www.librarything.com/work/6515	http://dbpedia.org/resource/Blood_and_Gold
The Tourist	https://www.librarything.com/work/6256516	
Memnoch the Devil (1995)	https://www.librarything.com/work/3438	http://dbpedia.org/resource/Memnoch_the_Devil
No Sleep for the Sheep!	https://www.librarything.com/work/10891551	
The Rockin' Chair	https://www.librarything.com/work/13899933	
The Jerusalem Diet. Guided Imagery and the Personal Path to Weight Control	https://www.librarything.com/work/4315262	
Shadow Woman	https://www.librarything.com/work/12092600	
The Very Busy Spider (1984)	https://www.librarything.com/work/80703	
Hellbent	https://www.librarything.com/work/10997839	
Time (1999)	https://www.librarything.com/work/159878	http://dbpedia.org/resource/Manifold:_Time
The Partner (1997)	https://www.librarything.com/work/861224	http://dbpedia.org/resource/The_Partner
The Long Voyage (1963)	https://www.librarything.com/work/972768	
Annie, Between the States (2006)	https://www.librarything.com/work/1598906	
Tomie dePaola's Mother Goose	https://www.librarything.com/work/224638	
The Fool's Run (1989)	https://www.librarything.com/work/49740	
Where Good Ideas Come From: The Natural History of Innovation (2010)	https://www.librarything.com/work/9768271	
Frog Goes to Dinner (1974)	https://www.librarything.com/work/2080152	
50 Rules For Sons	https://www.librarything.com/work/13823658	
Mired in the Health Care Morass: An Alaskan Takes on America's…	https://www.librarything.com/work/4852955	
In a Lonely Place (1947)	https://www.librarything.com/work/348040	
Anne Boleyn: A New Life of England's Tragic Queen	https://www.librarything.com/work/63580	
Goat: A Memoir	https://www.librarything.com/work/12156	
The Pure Cold Light	https://www.librarything.com/work/108708	
Survivor In Death (2005)	https://www.librarything.com/work/38980	
The Acceptance	https://www.librarything.com/work/5475675	
Dead is a State of Mind	https://www.librarything.com/work/5516571	
When She Was Good (1967)	https://www.librarything.com/work/29564	
The Tao of Physics (1975)	https://www.librarything.com/work/25980	
The Good Doctors: The Medical Committee for Human Rights and the Struggle…	https://www.librarything.com/work/8244735	
The Wolf Who Loved Me	https://www.librarything.com/work/12165587	
The Goblin Market	https://www.librarything.com/work/10948409	
The Insider	https://www.librarything.com/work/9847438	
Transition	https://www.librarything.com/work/8478288	
700 Sundays	https://www.librarything.com/work/471519	http://dbpedia.org/resource/700_Sundays
Into the silence (2011)	https://www.librarything.com/work/11423380	
The Unteleported Man (1964)	https://www.librarything.com/work/3337237	
Death at Wentwater Court	https://www.librarything.com/work/39646	
A Job from Hell	https://www.librarything.com/work/11274536	
Winter Haven (2008)	https://www.librarything.com/work/4656467	
I, Partridge: We Need To Talk About Alan	https://www.librarything.com/work/11799215	
The Secret Supper (2004)	https://www.librarything.com/work/392217	
Mercy	https://www.librarything.com/work/76198	http://dbpedia.org/resource/A_Mercy
Off Season	https://www.librarything.com/work/5268575	
Solstice Wood (2006)	https://www.librarything.com/work/133896	http://dbpedia.org/resource/Solstice_Wood
On Call: A Doctor's Days and Nights in Residency (2004)	https://www.librarything.com/work/51208	
660 Curries (2008)	https://www.librarything.com/work/5221140	
Traitor to His Class: The Privileged Life and Radical Presidency of… (2008)	https://www.librarything.com/work/5771874	
Oh No She Didn't: The Top 100 Style Mistakes Women Make and How to…	https://www.librarything.com/work/10284301	
The Egypt Game (1967)	https://www.librarything.com/work/44403	
Real Solutions for Busy Moms: Your Guide to Success and Sanity	https://www.librarything.com/work/7993646	
The Lost World (1912)	https://www.librarything.com/work/128275	http://dbpedia.org/resource/The_Lost_World_(Crichton_novel)
However Tall the Mountain: A Dream, Eight Girls, and a Journey Home	https://www.librarything.com/work/7961363	
King of Shadows (1999)	https://www.librarything.com/work/31829	
Rag and Bone (2001)	https://www.librarything.com/work/305976	
Clemente!	https://www.librarything.com/work/8925204	
The Bicycle Man	https://www.librarything.com/work/322181	
The Demon of Renaissance Drive	https://www.librarything.com/work/11914934	
Holy Feast and Holy Fast (1987)	https://www.librarything.com/work/41049	
Child of a Rainless Year (2005)	https://www.librarything.com/work/98995	
Fooling Houdini: Magicians, Mentalists, Math Geeks, and the Hidden Powers… (2012)	https://www.librarything.com/work/12328388	
Henderson the Rain King (1958)	https://www.librarything.com/work/10091	
Black Dust Mambo (2014)	https://www.librarything.com/work/9468362	
Elizabeth the Queen: The Life of a Modern Monarch (2011)	https://www.librarything.com/work/11903986	
The Magic Toyshop (1967)	https://www.librarything.com/work/19797	http://dbpedia.org/resource/The_Magic_Toyshop
A History of Modern Britain (2007)	https://www.librarything.com/work/3129484	
Mere Churchianity: Finding Your Way Back to Jesus-Shaped Spirituality	https://www.librarything.com/work/9714023	
Clockwork Princess	https://www.librarything.com/work/11057870	
The River	https://www.librarything.com/work/12906857	
The 6th Grade Nickname Game (1998)	https://www.librarything.com/work/2219544	
Time Between Us	https://www.librarything.com/work/12249431	
Love Hina, Vol. 1	https://www.librarything.com/work/645104	
Max On Life: Answers and Insights to Your Most Important Questions (2011)	https://www.librarything.com/work/11089538	
Electing the President: An Interactive Simulation on the Electoral…	https://www.librarything.com/work/12997385	
Vulture Peak (2011)	https://www.librarything.com/work/11397430	
Cross Fire	https://www.librarything.com/work/9648231	
Mirror, Mirror Off the Wall: How I Learned to Love My Body by Not Looking…	https://www.librarything.com/work/13480633	
