label	imdb_URI	DBpedia16_URI
Across the Sea of Time (1995)	https://www.imdb.com/title/tt0112286/	
It Takes Two (1995)	https://www.imdb.com/title/tt0113442/	http://dbpedia.org/resource/It_Takes_Two_(1995_film)
Cry, the Beloved Country (1995)	https://www.imdb.com/title/tt0112749/	http://dbpedia.org/resource/Cry,_the_Beloved_Country_(1995_film)
Richard III (1995)	https://www.imdb.com/title/tt0114279/	http://dbpedia.org/resource/Richard_III_(1995_film)
Dead Presidents (1995)	https://www.imdb.com/title/tt0112819/	http://dbpedia.org/resource/Dead_Presidents
Restoration (1995)	https://www.imdb.com/title/tt0114272/	http://dbpedia.org/resource/Restoration_(1995_film)
Mortal Kombat (1995)	https://www.imdb.com/title/tt0113855/	http://dbpedia.org/resource/Mortal_Kombat_(film)
To Die For (1995)	https://www.imdb.com/title/tt0114681/	http://dbpedia.org/resource/To_Die_For_(1994_film)
How to Make an American Quilt (1995)	https://www.imdb.com/title/tt0113347/	http://dbpedia.org/resource/How_to_Make_an_American_Quilt
Pocahontas (1995)	https://www.imdb.com/title/tt0114148/	http://dbpedia.org/resource/Pocahontas_(1995_film)
When Night Is Falling (1995)	https://www.imdb.com/title/tt0114916/	http://dbpedia.org/resource/When_Night_Is_Falling
Guardian Angel (1994)	https://www.imdb.com/title/tt0109950/	
Mighty Aphrodite (1995)	https://www.imdb.com/title/tt0113819/	http://dbpedia.org/resource/Mighty_Aphrodite
Lamerica (1994)	https://www.imdb.com/title/tt0110299/	http://dbpedia.org/resource/Lamerica
Big Green, The (1995)	https://www.imdb.com/title/tt0112499/	http://dbpedia.org/resource/The_Big_Green
Georgia (1995)	https://www.imdb.com/title/tt0113158/	http://dbpedia.org/resource/Georgia_(1995_film)
Kids of the Round Table (1995)	https://www.imdb.com/title/tt0113541/	
Home for the Holidays (1995)	https://www.imdb.com/title/tt0113321/	http://dbpedia.org/resource/Home_for_the_Holidays_(film)
Postman, The (Postino, Il) (1994)	https://www.imdb.com/title/tt0110877/	
Confessional, The (Confessionnal, Le) (1995)	https://www.imdb.com/title/tt0112714/	
Indian in the Cupboard, The (1995)	https://www.imdb.com/title/tt0113419/	http://dbpedia.org/resource/The_Indian_in_the_Cupboard_(film)
Eye for an Eye (1996)	https://www.imdb.com/title/tt0116260/	http://dbpedia.org/resource/Eye_for_an_Eye_(1996_film)
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)	https://www.imdb.com/title/tt0116126/	http://dbpedia.org/resource/Don't_Be_a_Menace_to_South_Central_While_Drinking_Your_Juice_in_the_Hood
Two if by Sea (1996)	https://www.imdb.com/title/tt0118002/	http://dbpedia.org/resource/Two_If_by_Sea
Bio-Dome (1996)	https://www.imdb.com/title/tt0115683/	http://dbpedia.org/resource/Bio-Dome
Lawnmower Man 2: Beyond Cyberspace (1996)	https://www.imdb.com/title/tt0116839/	http://dbpedia.org/resource/Lawnmower_Man_2:_Beyond_Cyberspace
Two Bits (1995)	https://www.imdb.com/title/tt0114753/	http://dbpedia.org/resource/Two_Bits
French Twist (Gazon maudit) (1995)	https://www.imdb.com/title/tt0113149/	http://dbpedia.org/resource/French_Twist_(film)
Friday (1995)	https://www.imdb.com/title/tt0113118/	http://dbpedia.org/resource/Friday_(1995_film)
From Dusk Till Dawn (1996)	https://www.imdb.com/title/tt0116367/	http://dbpedia.org/resource/From_Dusk_till_Dawn
Fair Game (1995)	https://www.imdb.com/title/tt0113010/	http://dbpedia.org/resource/Fair_Game_(1995_film)
Kicking and Screaming (1995)	https://www.imdb.com/title/tt0113537/	http://dbpedia.org/resource/Kicking_and_Screaming_(1995_film)
Misérables, Les (1995)	https://www.imdb.com/title/tt0113828/	
Bed of Roses (1996)	https://www.imdb.com/title/tt0115644/	http://dbpedia.org/resource/Bed_of_Roses_(1996_film)
Big Bully (1996)	https://www.imdb.com/title/tt0115676/	http://dbpedia.org/resource/Big_Bully_(film)
Screamers (1995)	https://www.imdb.com/title/tt0114367/	http://dbpedia.org/resource/Screamers_(1995_film)
Nico Icon (1995)	https://www.imdb.com/title/tt0113973/	
Crossing Guard, The (1995)	https://www.imdb.com/title/tt0112744/	http://dbpedia.org/resource/The_Crossing_Guard
Juror, The (1996)	https://www.imdb.com/title/tt0116731/	http://dbpedia.org/resource/The_Juror
White Balloon, The (Badkonake sefid) (1995)	https://www.imdb.com/title/tt0112445/	
Things to Do in Denver When You're Dead (1995)	https://www.imdb.com/title/tt0114660/	http://dbpedia.org/resource/Things_to_Do_in_Denver_When_You're_Dead
Antonia's Line (Antonia) (1995)	https://www.imdb.com/title/tt0112379/	http://dbpedia.org/resource/Antonia's_Line
Once Upon a Time... When We Were Colored (1995)	https://www.imdb.com/title/tt0114039/	
Last Summer in the Hamptons (1995)	https://www.imdb.com/title/tt0113612/	http://dbpedia.org/resource/Last_Summer_in_the_Hamptons
Angels and Insects (1995)	https://www.imdb.com/title/tt0112365/	
White Squall (1996)	https://www.imdb.com/title/tt0118158/	http://dbpedia.org/resource/White_Squall_(film)
Dunston Checks In (1996)	https://www.imdb.com/title/tt0116151/	http://dbpedia.org/resource/Dunston_Checks_In
Black Sheep (1996)	https://www.imdb.com/title/tt0115697/	http://dbpedia.org/resource/Black_Sheep_(1996_film)
Nick of Time (1995)	https://www.imdb.com/title/tt0113972/	http://dbpedia.org/resource/Nick_of_Time_(film)
Journey of August King, The (1995)	https://www.imdb.com/title/tt0113490/	http://dbpedia.org/resource/The_Journey_of_August_King
Mary Reilly (1996)	https://www.imdb.com/title/tt0117002/	http://dbpedia.org/resource/Mary_Reilly_(film)
Vampire in Brooklyn (1995)	https://www.imdb.com/title/tt0114825/	http://dbpedia.org/resource/Vampire_in_Brooklyn
Beautiful Girls (1996)	https://www.imdb.com/title/tt0115639/	http://dbpedia.org/resource/Beautiful_Girls_(film)
In the Bleak Midwinter (1995)	https://www.imdb.com/title/tt0113403/	http://dbpedia.org/resource/In_the_Bleak_Midwinter_(film)
Hate (Haine, La) (1995)	https://www.imdb.com/title/tt0113247/	
Shopping (1994)	https://www.imdb.com/title/tt0111173/	http://dbpedia.org/resource/Shopping_(film)
Heidi Fleiss: Hollywood Madam (1995)	https://www.imdb.com/title/tt0113283/	http://dbpedia.org/resource/Heidi_Fleiss:_Hollywood_Madam
City Hall (1996)	https://www.imdb.com/title/tt0115907/	http://dbpedia.org/resource/City_Hall_(film)
Bottle Rocket (1996)	https://www.imdb.com/title/tt0115734/	http://dbpedia.org/resource/Bottle_Rocket
Mr. Wrong (1996)	https://www.imdb.com/title/tt0117102/	http://dbpedia.org/resource/Mr._Wrong
Unforgettable (1996)	https://www.imdb.com/title/tt0118040/	http://dbpedia.org/resource/Unforgettable
Bridges of Madison County, The (1995)	https://www.imdb.com/title/tt0112579/	http://dbpedia.org/resource/The_Bridges_of_Madison_County_(film)
Nobody Loves Me (Keiner liebt mich) (1994)	https://www.imdb.com/title/tt0110251/	
Muppet Treasure Island (1996)	https://www.imdb.com/title/tt0117110/	http://dbpedia.org/resource/Muppet_Treasure_Island
Catwalk (1996)	https://www.imdb.com/title/tt0112646/	http://dbpedia.org/resource/Catwalk_Dogs
Headless Body in Topless Bar (1995)	https://www.imdb.com/title/tt0113276/	
Rumble in the Bronx (Hont faan kui) (1995)	https://www.imdb.com/title/tt0113326/	
Before and After (1996)	https://www.imdb.com/title/tt0115645/	http://dbpedia.org/resource/Before_and_After_(film)
Margaret's Museum (1995)	https://www.imdb.com/title/tt0113774/	http://dbpedia.org/resource/Margaret's_Museum
Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)	https://www.imdb.com/title/tt0112556/	http://dbpedia.org/resource/Happiness_Is_in_the_Field
Anne Frank Remembered (1995)	https://www.imdb.com/title/tt0112373/	http://dbpedia.org/resource/Anne_Frank_Remembered
Young Poisoner's Handbook, The (1995)	https://www.imdb.com/title/tt0115033/	http://dbpedia.org/resource/The_Young_Poisoner's_Handbook
If Lucy Fell (1996)	https://www.imdb.com/title/tt0116606/	http://dbpedia.org/resource/If_Lucy_Fell
Steal Big, Steal Little (1995)	https://www.imdb.com/title/tt0114536/	http://dbpedia.org/resource/Steal_Big_Steal_Little
Race the Sun (1996)	https://www.imdb.com/title/tt0117427/	http://dbpedia.org/resource/Race_the_Sun
Boys of St. Vincent, The (1992)	https://www.imdb.com/title/tt0106473/	http://dbpedia.org/resource/The_Boys_of_St._Vincent
Boomerang (1992)	https://www.imdb.com/title/tt0103859/	http://dbpedia.org/resource/Boomerang_(1992_film)
Chungking Express (Chung Hing sam lam) (1994)	https://www.imdb.com/title/tt0109424/	
Star Maker, The (Uomo delle stelle, L') (1995)	https://www.imdb.com/title/tt0114808/	
Flirting With Disaster (1996)	https://www.imdb.com/title/tt0116324/	http://dbpedia.org/resource/Flirting_with_Disaster_(film)
NeverEnding Story III, The (1994)	https://www.imdb.com/title/tt0110647/	http://dbpedia.org/resource/The_NeverEnding_Story_III
Silences of the Palace, The (Saimt el Qusur) (1994)	https://www.imdb.com/title/tt0111055/	
Jupiter's Wife (1994)	https://www.imdb.com/title/tt0110217/	
Pie in the Sky (1996)	https://www.imdb.com/title/tt0114131/	http://dbpedia.org/resource/Pie_in_the_Sky_(1996_film)
Angela (1995)	https://www.imdb.com/title/tt0112364/	http://dbpedia.org/resource/Angela_(1995_film)
Frankie Starlight (1995)	https://www.imdb.com/title/tt0113107/	http://dbpedia.org/resource/Frankie_Starlight
Jade (1995)	https://www.imdb.com/title/tt0113451/	http://dbpedia.org/resource/Jade_(film)
Nueba Yol (1995)	https://www.imdb.com/title/tt0114015/	
Sonic Outlaws (1995)	https://www.imdb.com/title/tt0114500/	
Down Periscope (1996)	https://www.imdb.com/title/tt0116130/	http://dbpedia.org/resource/Down_Periscope
From the Journals of Jean Seberg (1995)	https://www.imdb.com/title/tt0113125/	
Man of the Year (1995)	https://www.imdb.com/title/tt0113756/	http://dbpedia.org/resource/Man_of_the_Year_(1995_film)
Neon Bible, The (1995)	https://www.imdb.com/title/tt0113952/	http://dbpedia.org/resource/The_Neon_Bible_(film)
Target (1995)	https://www.imdb.com/title/tt0114618/	http://dbpedia.org/resource/Target_Earth_(film)
Up Close and Personal (1996)	https://www.imdb.com/title/tt0118055/	
Shadows (Cienie) (1988)	https://www.imdb.com/title/tt0094878/	
Gospa (1995)	https://www.imdb.com/title/tt0113200/	http://dbpedia.org/resource/Gospa
Brothers McMullen, The (1995)	https://www.imdb.com/title/tt0112585/	http://dbpedia.org/resource/The_Brothers_McMullen
Bad Boys (1995)	https://www.imdb.com/title/tt0112442/	http://dbpedia.org/resource/Bad_Boys_(1995_film)
Amazing Panda Adventure, The (1995)	https://www.imdb.com/title/tt0112342/	http://dbpedia.org/resource/The_Amazing_Panda_Adventure
Basketball Diaries, The (1995)	https://www.imdb.com/title/tt0112461/	http://dbpedia.org/resource/The_Basketball_Diaries_(film)
Awfully Big Adventure, An (1995)	https://www.imdb.com/title/tt0112427/	http://dbpedia.org/resource/An_Awfully_Big_Adventure
Amateur (1994)	https://www.imdb.com/title/tt0109093/	http://dbpedia.org/resource/Amateur_(film)
Rob Roy (1995)	https://www.imdb.com/title/tt0114287/	http://dbpedia.org/resource/Rob_Roy
Addiction, The (1995)	https://www.imdb.com/title/tt0112288/	http://dbpedia.org/resource/Addiction_(film)
Beauty of the Day (Belle de jour) (1967)	https://www.imdb.com/title/tt0061395/	http://dbpedia.org/resource/Belle_de_Jour_(film)
Beyond Rangoon (1995)	https://www.imdb.com/title/tt0112495/	http://dbpedia.org/resource/Beyond_Rangoon
Blue in the Face (1995)	https://www.imdb.com/title/tt0112541/	http://dbpedia.org/resource/Blue_in_the_Face
Canadian Bacon (1995)	https://www.imdb.com/title/tt0109370/	http://dbpedia.org/resource/Canadian_Bacon
Casper (1995)	https://www.imdb.com/title/tt0112642/	http://dbpedia.org/resource/Casper_(film)
Clockers (1995)	https://www.imdb.com/title/tt0112688/	http://dbpedia.org/resource/Clockers_(film)
Crumb (1994)	https://www.imdb.com/title/tt0109508/	http://dbpedia.org/resource/Crumb_(film)
Desperado (1995)	https://www.imdb.com/title/tt0112851/	http://dbpedia.org/resource/Desperado_(film)
Devil in a Blue Dress (1995)	https://www.imdb.com/title/tt0112857/	http://dbpedia.org/resource/Devil_in_a_Blue_Dress_(film)
Doom Generation, The (1995)	https://www.imdb.com/title/tt0112887/	http://dbpedia.org/resource/The_Doom_Generation
Feast of July (1995)	https://www.imdb.com/title/tt0113044/	http://dbpedia.org/resource/Feast_of_July
First Knight (1995)	https://www.imdb.com/title/tt0113071/	http://dbpedia.org/resource/First_Knight
Free Willy 2: The Adventure Home (1995)	https://www.imdb.com/title/tt0113114/	http://dbpedia.org/resource/Free_Willy_2:_The_Adventure_Home
Hackers (1995)	https://www.imdb.com/title/tt0113243/	http://dbpedia.org/resource/Hackers_(film)
Jeffrey (1995)	https://www.imdb.com/title/tt0113464/	http://dbpedia.org/resource/Jeffrey_(film)
Johnny Mnemonic (1995)	https://www.imdb.com/title/tt0113481/	http://dbpedia.org/resource/Johnny_Mnemonic_(film)
Jury Duty (1995)	https://www.imdb.com/title/tt0113500/	http://dbpedia.org/resource/Jury_Duty_(film)
Kids (1995)	https://www.imdb.com/title/tt0113540/	http://dbpedia.org/resource/Kids_(film)
Living in Oblivion (1995)	https://www.imdb.com/title/tt0113677/	http://dbpedia.org/resource/Living_in_Oblivion
Lord of Illusions (1995)	https://www.imdb.com/title/tt0113690/	http://dbpedia.org/resource/Lord_of_Illusions
Love & Human Remains (1993)	https://www.imdb.com/title/tt0107447/	http://dbpedia.org/resource/Love_and_Human_Remains
Mad Love (1995)	https://www.imdb.com/title/tt0113729/	http://dbpedia.org/resource/Mad_Love_(1995_film)
Mallrats (1995)	https://www.imdb.com/title/tt0113749/	http://dbpedia.org/resource/Mallrats
Mighty Morphin Power Rangers: The Movie (1995)	https://www.imdb.com/title/tt0113820/	http://dbpedia.org/resource/Mighty_Morphin_Power_Rangers:_The_Movie
Moonlight and Valentino (1995)	https://www.imdb.com/title/tt0113851/	http://dbpedia.org/resource/Moonlight_and_Valentino
Mute Witness (1994)	https://www.imdb.com/title/tt0110604/	http://dbpedia.org/resource/Mute_Witness
Nadja (1994)	https://www.imdb.com/title/tt0110620/	http://dbpedia.org/resource/Nadja_(film)
Nine Months (1995)	https://www.imdb.com/title/tt0113986/	http://dbpedia.org/resource/Nine_Months
Party Girl (1995)	https://www.imdb.com/title/tt0114095/	http://dbpedia.org/resource/Party_Girl_(1995_film)
Prophecy, The (1995)	https://www.imdb.com/title/tt0114194/	http://dbpedia.org/resource/Prophecy_(film)
Reckless (1995)	https://www.imdb.com/title/tt0114241/	http://dbpedia.org/resource/Reckless_(1995_film)
Safe (1995)	https://www.imdb.com/title/tt0114323/	http://dbpedia.org/resource/Safe_(1995_film)
Scarlet Letter, The (1995)	https://www.imdb.com/title/tt0114345/	http://dbpedia.org/resource/The_Scarlet_Letter_(1995_film)
Show, The (1995)	https://www.imdb.com/title/tt0114435/	http://dbpedia.org/resource/High_School_Musical_2
Showgirls (1995)	https://www.imdb.com/title/tt0114436/	http://dbpedia.org/resource/Showgirls
Smoke (1995)	https://www.imdb.com/title/tt0114478/	http://dbpedia.org/resource/Smoke_(film)
Something to Talk About (1995)	https://www.imdb.com/title/tt0114496/	http://dbpedia.org/resource/Something_to_Talk_About_(film)
Species (1995)	https://www.imdb.com/title/tt0114508/	http://dbpedia.org/resource/Species_(film)
Stars Fell on Henrietta, The (1995)	https://www.imdb.com/title/tt0114534/	http://dbpedia.org/resource/The_Stars_Fell_on_Henrietta
Strange Days (1995)	https://www.imdb.com/title/tt0114558/	http://dbpedia.org/resource/Strange_Days_(film)
Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)	https://www.imdb.com/title/tt0058450/	http://dbpedia.org/resource/The_Umbrellas_of_Cherbourg
Tie That Binds, The (1995)	https://www.imdb.com/title/tt0114666/	http://dbpedia.org/resource/The_Tie_That_Binds_(1995_film)
Three Wishes (1995)	https://www.imdb.com/title/tt0114663/	http://dbpedia.org/resource/Three_Wishes_(film)
Total Eclipse (1995)	https://www.imdb.com/title/tt0114702/	http://dbpedia.org/resource/Total_Eclipse_(film)
To Wong Foo, Thanks for Everything! Julie Newmar (1995)	https://www.imdb.com/title/tt0114682/	http://dbpedia.org/resource/To_Wong_Foo,_Thanks_for_Everything!_Julie_Newmar
Under Siege 2: Dark Territory (1995)	https://www.imdb.com/title/tt0114781/	http://dbpedia.org/resource/Under_Siege_2:_Dark_Territory
Unstrung Heroes (1995)	https://www.imdb.com/title/tt0114798/	http://dbpedia.org/resource/Unstrung_Heroes
Unzipped (1995)	https://www.imdb.com/title/tt0114805/	http://dbpedia.org/resource/Unzipped_(film)
Walk in the Clouds, A (1995)	https://www.imdb.com/title/tt0114887/	http://dbpedia.org/resource/A_Walk_in_the_Clouds
White Man's Burden (1995)	https://www.imdb.com/title/tt0114928/	http://dbpedia.org/resource/White_Man's_Burden_(film)
Wild Bill (1995)	https://www.imdb.com/title/tt0114938/	
Browning Version, The (1994)	https://www.imdb.com/title/tt0109340/	http://dbpedia.org/resource/The_Browning_Version_(1994_film)
Bushwhacked (1995)	https://www.imdb.com/title/tt0112602/	http://dbpedia.org/resource/Bushwhacked_(film)
Burnt by the Sun (Utomlyonnye solntsem) (1994)	https://www.imdb.com/title/tt0111579/	http://dbpedia.org/resource/Burnt_by_the_Sun
Before the Rain (Pred dozhdot) (1994)	https://www.imdb.com/title/tt0110882/	
Before Sunrise (1995)	https://www.imdb.com/title/tt0112471/	http://dbpedia.org/resource/Before_Sunrise
Billy Madison (1995)	https://www.imdb.com/title/tt0112508/	http://dbpedia.org/resource/Billy_Madison
Babysitter, The (1995)	https://www.imdb.com/title/tt0112438/	http://dbpedia.org/resource/The_Babysitter
Boys on the Side (1995)	https://www.imdb.com/title/tt0112571/	http://dbpedia.org/resource/Boys_on_the_Side
Cure, The (1995)	https://www.imdb.com/title/tt0112757/	http://dbpedia.org/resource/Cure_(film)
Castle Freak (1995)	https://www.imdb.com/title/tt0112643/	http://dbpedia.org/resource/Castle_Freak
Circle of Friends (1995)	https://www.imdb.com/title/tt0112679/	http://dbpedia.org/resource/Circle_of_Friends_(1995_film)
Don Juan DeMarco (1995)	https://www.imdb.com/title/tt0112883/	http://dbpedia.org/resource/Don_Juan_DeMarco
Disclosure (1994)	https://www.imdb.com/title/tt0109635/	http://dbpedia.org/resource/Disclosure_(film)
Dream Man (1995)	https://www.imdb.com/title/tt0112899/	
Drop Zone (1994)	https://www.imdb.com/title/tt0109676/	http://dbpedia.org/resource/Drop_Zone_(film)
Destiny Turns on the Radio (1995)	https://www.imdb.com/title/tt0112854/	http://dbpedia.org/resource/Destiny_Turns_on_the_Radio
Death and the Maiden (1994)	https://www.imdb.com/title/tt0109579/	http://dbpedia.org/resource/Death_and_the_Maiden_(film)
Dolores Claiborne (1995)	https://www.imdb.com/title/tt0109642/	http://dbpedia.org/resource/Dolores_Claiborne_(film)
Eat Drink Man Woman (Yin shi nan nu) (1994)	https://www.imdb.com/title/tt0111797/	
Exotica (1994)	https://www.imdb.com/title/tt0109759/	http://dbpedia.org/resource/Exotica_(film)
Exit to Eden (1994)	https://www.imdb.com/title/tt0109758/	http://dbpedia.org/resource/Exit_to_Eden_(film)
French Kiss (1995)	https://www.imdb.com/title/tt0113117/	http://dbpedia.org/resource/French_Kiss_(1995_film)
Forget Paris (1995)	https://www.imdb.com/title/tt0113097/	http://dbpedia.org/resource/Forget_Paris
Far From Home: The Adventures of Yellow Dog (1995)	https://www.imdb.com/title/tt0113028/	http://dbpedia.org/resource/Far_from_Home:_The_Adventures_of_Yellow_Dog
Goofy Movie, A (1995)	https://www.imdb.com/title/tt0113198/	http://dbpedia.org/resource/A_Goofy_Movie
Hideaway (1995)	https://www.imdb.com/title/tt0113303/	http://dbpedia.org/resource/Hideaway_(film)
Fluke (1995)	https://www.imdb.com/title/tt0113089/	http://dbpedia.org/resource/Fluke_(film)
Farinelli: il castrato (1994)	https://www.imdb.com/title/tt0109771/	http://dbpedia.org/resource/Farinelli_(film)
Gordy (1995)	https://www.imdb.com/title/tt0113199/	http://dbpedia.org/resource/Gordy
Gumby: The Movie (1995)	https://www.imdb.com/title/tt0113234/	http://dbpedia.org/resource/Gumby:_The_Movie
Glass Shield, The (1994)	https://www.imdb.com/title/tt0109906/	http://dbpedia.org/resource/The_Glass_Shield
Hoop Dreams (1994)	https://www.imdb.com/title/tt0110057/	http://dbpedia.org/resource/Hoop_Dreams
Heavenly Creatures (1994)	https://www.imdb.com/title/tt0110005/	http://dbpedia.org/resource/Heavenly_Creatures
Houseguest (1994)	https://www.imdb.com/title/tt0110066/	http://dbpedia.org/resource/Houseguest
Immortal Beloved (1994)	https://www.imdb.com/title/tt0110116/	http://dbpedia.org/resource/Immortal_Beloved_(film)
Heavyweights (Heavy Weights) (1995)	https://www.imdb.com/title/tt0110006/	http://dbpedia.org/resource/Heavyweights
Hunted, The (1995)	https://www.imdb.com/title/tt0113360/	http://dbpedia.org/resource/Hunted_(film)
I.Q. (1994)	https://www.imdb.com/title/tt0110099/	http://dbpedia.org/resource/I.Q._(film)
Jefferson in Paris (1995)	https://www.imdb.com/title/tt0113463/	http://dbpedia.org/resource/Jefferson_in_Paris
Jerky Boys, The (1995)	https://www.imdb.com/title/tt0110189/	http://dbpedia.org/resource/The_Jerky_Boys:_The_Movie
Junior (1994)	https://www.imdb.com/title/tt0110216/	http://dbpedia.org/resource/Junior_(1994_film)
Just Cause (1995)	https://www.imdb.com/title/tt0113501/	http://dbpedia.org/resource/Just_Cause_(film)
Kid in King Arthur's Court, A (1995)	https://www.imdb.com/title/tt0113538/	http://dbpedia.org/resource/A_Kid_in_King_Arthur's_Court
Kiss of Death (1995)	https://www.imdb.com/title/tt0113552/	http://dbpedia.org/resource/Kiss_of_Death_(1995_film)
Little Women (1994)	https://www.imdb.com/title/tt0110367/	http://dbpedia.org/resource/Little_Women_(1994_film)
Little Princess, A (1995)	https://www.imdb.com/title/tt0113670/	
Ladybird Ladybird (1994)	https://www.imdb.com/title/tt0110296/	http://dbpedia.org/resource/Ladybird,_Ladybird_(film)
Enfer, L' (1994)	https://www.imdb.com/title/tt0109731/	
Like Water for Chocolate (Como agua para chocolate) (1992)	https://www.imdb.com/title/tt0103994/	http://dbpedia.org/resource/Like_Water_for_Chocolate_(film)
Major Payne (1995)	https://www.imdb.com/title/tt0110443/	http://dbpedia.org/resource/Major_Payne
Little Odessa (1994)	https://www.imdb.com/title/tt0110365/	http://dbpedia.org/resource/Little_Odessa
My Crazy Life (Mi vida loca) (1993)	https://www.imdb.com/title/tt0107566/	
Love Affair (1994)	https://www.imdb.com/title/tt0110391/	http://dbpedia.org/resource/Love_Affair_(1994_film)
Losing Isaiah (1995)	https://www.imdb.com/title/tt0113691/	http://dbpedia.org/resource/Losing_Isaiah
Madness of King George, The (1994)	https://www.imdb.com/title/tt0110428/	http://dbpedia.org/resource/The_Madness_of_King_George
Mary Shelley's Frankenstein (Frankenstein) (1994)	https://www.imdb.com/title/tt0109836/	http://dbpedia.org/resource/Mary_Shelley's_Frankenstein_(film)
Man of the House (1995)	https://www.imdb.com/title/tt0113755/	http://dbpedia.org/resource/Man_of_the_House_(1995_film)
Mixed Nuts (1994)	https://www.imdb.com/title/tt0110538/	http://dbpedia.org/resource/Mixed_Nuts_(1922_film)
Milk Money (1994)	https://www.imdb.com/title/tt0110516/	http://dbpedia.org/resource/Milk_Money_(film)
Miracle on 34th Street (1994)	https://www.imdb.com/title/tt0110527/	http://dbpedia.org/resource/Miracle_on_34th_Street_(1994_film)
Miami Rhapsody (1995)	https://www.imdb.com/title/tt0113808/	http://dbpedia.org/resource/Miami_Rhapsody
My Family (1995)	https://www.imdb.com/title/tt0113896/	http://dbpedia.org/resource/My_Family_(film)
Murder in the First (1995)	https://www.imdb.com/title/tt0113870/	http://dbpedia.org/resource/Murder_in_the_First
Nobody's Fool (1994)	https://www.imdb.com/title/tt0110684/	http://dbpedia.org/resource/Nobody's_Fool_(1994_film)
Nell (1994)	https://www.imdb.com/title/tt0110638/	http://dbpedia.org/resource/Nell_(film)
New Jersey Drive (1995)	https://www.imdb.com/title/tt0113967/	http://dbpedia.org/resource/New_Jersey_Drive
New York Cop (Nyû Yôku no koppu) (1993)	https://www.imdb.com/title/tt0117169/	
Beyond Bedlam (1993)	https://www.imdb.com/title/tt0106402/	
Nemesis 2: Nebula (1995)	https://www.imdb.com/title/tt0113948/	http://dbpedia.org/resource/Nemesis_2:_Nebula
Nina Takes a Lover (1994)	https://www.imdb.com/title/tt0110671/	
Only You (1994)	https://www.imdb.com/title/tt0110737/	http://dbpedia.org/resource/Only_You_(1994_film)
Once Were Warriors (1994)	https://www.imdb.com/title/tt0110729/	http://dbpedia.org/resource/Once_Were_Warriors_(film)
Poison Ivy II (1996)	https://www.imdb.com/title/tt0114151/	http://dbpedia.org/resource/Poison_Ivy_II:_Lily
Perez Family, The (1995)	https://www.imdb.com/title/tt0114113/	http://dbpedia.org/resource/The_Perez_Family
